centro,almacen,material,descripcion,lote,f_prod,stock,un,un_pallet,f_caja,cajas,pallets,camiones,bloqueado,control_calidad
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A17FJNLD,17.01.2025,53826,UN,3900,48,1121,13.8,0.69,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A17FJALC,17.01.2025,52669,UN,3900,48,1097,13.5,0.68,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A17FJNLA,17.01.2025,48099,UN,3900,48,1002,12.33,0.62,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,25K15LJALA,15.11.2025,45847,UN,3900,48,955,11.76,0.59,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A17FJNLC,17.01.2025,45536,UN,3900,48,949,11.68,0.58,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A17FJNLB,17.01.2025,33963,UN,3900,48,708,8.71,0.44,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K14FJNLA,14.11.2025,27504,UN,3900,48,573,7.05,0.35,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLG,13.11.2025,26529,UN,3900,48,553,6.8,0.34,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLD,13.11.2025,25545,UN,3900,48,532,6.55,0.33,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLC,13.11.2025,25125,UN,3900,48,523,6.44,0.32,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25A31FJHLA,31.01.2025,22173,UN,3900,48,462,5.69,0.28,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,18F19PJNTA,19.06.2018,21600,UN,2700,24,900,8.0,0.4,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,25K15LJALB,15.11.2025,17949,UN,3900,48,374,4.6,0.23,0,0.0
P109,I93,920100513,JUREL LOMO AHUM RO160,25K15LJHLA,15.11.2025,17262,UN,3900,48,360,4.43,0.22,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25K13FJALA,13.11.2025,16544,UN,3900,48,345,4.24,0.21,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLE,14.11.2025,14563,UN,3900,48,303,3.73,0.19,0,0.0
P109,I93,920100513,JUREL LOMO AHUM RO160,25K15LJHLC,15.11.2025,14545,UN,3900,48,303,3.73,0.19,0,0.0
P109,I93,920100513,JUREL LOMO AHUM RO160,25K15LJHLB,15.11.2025,13675,UN,3900,48,285,3.51,0.18,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLE,13.11.2025,13235,UN,3900,48,276,3.39,0.17,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLI,14.11.2025,12337,UN,3900,48,257,3.16,0.16,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLA,14.11.2025,10598,UN,3900,48,221,2.72,0.14,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A06FJNLB,06.01.2025,10000,UN,3900,48,208,2.56,0.13,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLD,14.11.2025,8592,UN,3900,48,179,2.2,0.11,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25J29FJHLK,29.10.2025,7808,UN,3900,48,163,2.0,0.1,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25K13FJNLA,13.11.2025,7800,UN,3900,48,162,2.0,0.1,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25J29FJHLH,29.10.2025,7723,UN,3900,48,161,1.98,0.1,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLJ,14.11.2025,6635,UN,3900,48,138,1.7,0.08,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,25K15LJALC,15.11.2025,6290,UN,3900,48,131,1.61,0.08,0,0.0
P109,I93,920100513,JUREL LOMO AHUM RO160,25K15LJHLD,15.11.2025,5633,UN,3900,48,117,1.44,0.07,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLF,14.11.2025,5354,UN,3900,48,112,1.37,0.07,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLC,07.01.2025,5071,UN,3900,48,106,1.3,0.06,0,0.0
